Timestamp,Roll,Pitch,Yaw,Throttle
21:42:35.252,-12.03,8.63,-8.29,1160
21:42:37.127,-12.02,8.63,-9.28,1160
21:42:38.342,-12.02,8.64,-9.8,1170
21:42:40.578,-12.01,8.64,-10.84,1160
21:42:45.797,-9.74,12.43,-33.02,1160
21:42:48.908,-11.56,10.08,-43.65,1160
21:42:50.059,-11.8,9.79,-44.16,1160
21:42:51.123,-11.9,9.66,-44.66,1160
21:42:54.313,-12.24,9.07,-43.06,1160
21:42:55.435,-12.09,9.24,-43.59,1160
21:42:56.455,-12.03,9.31,-44.07,1160
21:42:58.682,-11.98,9.36,-45.08,1160
21:43:02.878,-11.96,9.37,-47.05,1160
21:43:03.981,-11.96,9.37,-47.57,1160
21:43:04.997,-11.96,9.38,-48.06,1160
21:43:09.258,-11.97,9.37,-50.08,1160
21:43:10.276,-11.95,9.37,-50.56,1160
21:43:15.639,-11.96,9.39,-53.02,1160
21:43:16.722,-11.96,9.39,-53.54,1160
21:43:18.850,-11.96,9.39,-54.52,1160
21:43:21.969,-11.97,9.39,-55.99,1160
21:43:22.872,-11.96,9.38,-56.46,1160
21:43:29.298,-11.95,9.39,-59.46,1160
21:43:30.517,-11.95,9.39,-60.01,1160
21:43:31.595,-11.95,9.39,-60.51,1160
